link,song,group
https://www.lyrics.com/lyric/29497476/Alicia+Keys/Try+Sleeping+with+a+Broken+Heart,Try Sleeping with a Broken Heart,Alicia Keys
https://www.lyrics.com/lyric/29497478/Alicia+Keys/Un-Thinkable+%28I%27m+Ready%29,Un-Thinkable (I'm Ready),Alicia Keys
https://www.lyrics.com/lyric/29531789/Alicia+Keys/Empire+State+of+Mind%2C+Pt.+2%3A+Broken+Down,"Empire State of Mind, Pt. 2: Broken Down",Alicia Keys
https://www.lyrics.com/lyric/29758501/Alicia+Keys/New+Day,New Day,Alicia Keys
https://www.lyrics.com/lyric/30872587/Alicia+Keys/Empire+State+of+Mind%2C+Pt.+2%3A+Broken+Down,"Empire State of Mind, Pt. 2: Broken Down",Alicia Keys
https://www.lyrics.com/lyric/28459773/Alicia+Keys/New+Day,New Day,Alicia Keys
https://www.lyrics.com/lyric/31758448/Alicia+Keys/Another+Way+to+Die,Another Way to Die,Alicia Keys
https://www.lyrics.com/lyric/26357175/Alicia+Keys/Fallin%27,Fallin',Alicia Keys
https://www.lyrics.com/lyric/28261907/Alicia+Keys/Girl+On+Fire+%5BInferno+Version%5D+%5BVersion%5D,Girl On Fire [Inferno Version] [Version],Alicia Keys
https://www.lyrics.com/lyric/28004727/Alicia+Keys/Girl+on+Fire+%5BVersion%5D,Girl on Fire [Version],Alicia Keys
https://www.lyrics.com/lyric/28261911/Alicia+Keys/Brand+New+Me,Brand New Me,Alicia Keys
https://www.lyrics.com/lyric/28261910/Alicia+Keys/When+It%27s+All+Over,When It's All Over,Alicia Keys
https://www.lyrics.com/lyric/28261909/Alicia+Keys/Listen+to+Your+Heart,Listen to Your Heart,Alicia Keys
https://www.lyrics.com/lyric/28261908/Alicia+Keys/New+Day,New Day,Alicia Keys
https://www.lyrics.com/lyric/28261906/Alicia+Keys/Fire+We+Make,Fire We Make,Alicia Keys
https://www.lyrics.com/lyric/28261905/Alicia+Keys/Tears+Always+Win,Tears Always Win,Alicia Keys
https://www.lyrics.com/lyric/28261904/Alicia+Keys/Not+Even+the+King,Not Even the King,Alicia Keys
https://www.lyrics.com/lyric/28261903/Alicia+Keys/That%27s+When+I+Knew,That's When I Knew,Alicia Keys
https://www.lyrics.com/lyric/28261902/Alicia+Keys/Limitedless,Limitedless,Alicia Keys
https://www.lyrics.com/lyric/28261901/Alicia+Keys/One+Thing,One Thing,Alicia Keys
https://www.lyrics.com/lyric/28261900/Alicia+Keys/101,101,Alicia Keys
https://www.lyrics.com/lyric/28437140/Alicia+Keys/Brand+New+Me,Brand New Me,Alicia Keys
https://www.lyrics.com/lyric/28437139/Alicia+Keys/When+It%27s+All+Over,When It's All Over,Alicia Keys
https://www.lyrics.com/lyric/28437138/Alicia+Keys/Listen+to+Your+Heart,Listen to Your Heart,Alicia Keys
https://www.lyrics.com/lyric/28437137/Alicia+Keys/New+Day,New Day,Alicia Keys
https://www.lyrics.com/lyric/28437136/Alicia+Keys/Girl+On+Fire+%5BInferno+Version%5D+%5BVersion%5D,Girl On Fire [Inferno Version] [Version],Alicia Keys
https://www.lyrics.com/lyric/28437135/Alicia+Keys/Fire+We+Make,Fire We Make,Alicia Keys
https://www.lyrics.com/lyric/28437134/Alicia+Keys/Tears+Always+Win,Tears Always Win,Alicia Keys
https://www.lyrics.com/lyric/28437133/Alicia+Keys/Not+Even+the+King,Not Even the King,Alicia Keys
https://www.lyrics.com/lyric/28437131/Alicia+Keys/Limitedless,Limitedless,Alicia Keys
https://www.lyrics.com/lyric/28437130/Alicia+Keys/One+Thing,One Thing,Alicia Keys
https://www.lyrics.com/lyric/28437129/Alicia+Keys/101,101,Alicia Keys
https://www.lyrics.com/lyric/28123924/Alicia+Keys/Try+Sleeping+With+a+Broken+Heart,Try Sleeping With a Broken Heart,Alicia Keys
